Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,73.129997,74.000000,72.459999,73.750000,64.496201,373800
2014-01-03,73.709999,74.269997,73.220001,73.739998,64.487442,427200
2014-01-06,73.779999,75.750000,73.769997,74.019997,64.732330,318500
2014-01-07,75.750000,76.620003,74.459999,76.519997,66.918625,507000
2014-01-08,77.370003,79.269997,76.830002,78.980003,69.069954,665800
2014-01-09,79.800003,80.220001,78.519997,80.029999,69.988213,411100
2014-01-10,80.370003,81.500000,80.279999,80.550003,70.442963,378200
2014-01-13,81.730003,84.160004,81.099998,82.480003,72.130806,604800
2014-01-14,82.500000,84.190002,82.500000,83.809998,73.293907,718900
2014-01-15,84.000000,85.110001,83.290001,84.209999,73.643738,449300
2014-01-16,84.339996,85.930000,84.010002,84.940002,74.282135,329600
2014-01-17,84.739998,85.000000,78.019997,80.339996,70.259315,1078200
2014-01-21,80.750000,80.809998,76.050003,77.669998,67.924339,802300
2014-01-22,78.000000,79.040001,76.589996,78.500000,68.650200,277900
2014-01-23,78.139999,78.440002,76.199997,78.050003,68.256660,274200
2014-01-24,77.540001,77.620003,73.540001,73.849998,64.583672,495600
2014-01-27,73.699997,75.239998,72.519997,73.589996,64.356277,336900
2014-01-28,73.580002,75.449997,73.580002,75.180000,65.746773,238500
2014-01-29,75.010002,75.889999,73.610001,73.809998,64.548683,346700
2014-01-30,73.970001,76.589996,73.839996,75.800003,66.288986,257200
2014-01-31,75.220001,76.620003,74.889999,76.169998,66.612549,283200
2014-02-03,76.089996,76.440002,71.269997,72.209999,63.149418,432300
2014-02-04,72.959999,74.199997,72.480003,72.779999,63.647919,396500
2014-02-05,72.300003,72.820000,67.510002,70.879997,61.986313,763300
2014-02-06,70.889999,72.750000,70.760002,71.500000,62.528526,254500
2014-02-07,71.699997,74.230003,71.699997,73.959999,64.679871,305200
2014-02-10,74.300003,75.690002,73.910004,74.730003,65.353241,328200
2014-02-11,74.949997,75.300003,73.519997,74.199997,64.889740,289400
2014-02-12,74.250000,74.779999,73.199997,73.650002,64.408737,135200
