Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,52.840000,54.680000,52.810001,54.000000,53.234623,164700
2019-01-03,53.709999,53.990002,52.459999,52.630001,51.884041,158800
2019-01-04,52.990002,53.090000,51.349998,52.869999,52.120636,252100
2019-01-07,52.990002,54.299999,51.779999,53.889999,53.126179,122400
2019-01-08,54.000000,54.639999,53.099998,54.630001,53.855694,132600
2019-01-09,54.549999,54.810001,53.970001,54.750000,53.973991,69600
2019-01-10,54.320000,55.139999,54.180000,54.849998,54.072575,64000
2019-01-11,54.599998,55.730000,54.599998,55.610001,54.821800,215700
2019-01-14,55.459999,56.310001,55.459999,55.779999,54.989391,116900
2019-01-15,55.720001,55.770000,54.770000,55.360001,54.575348,105600
2019-01-16,55.450001,56.349998,55.220001,55.810001,55.018967,97100
2019-01-17,55.750000,56.849998,55.750000,56.369999,55.571030,118800
2019-01-18,56.660000,57.360001,55.860001,55.970001,55.176701,119900
2019-01-22,55.689999,56.000000,54.840000,55.240002,54.457047,97900
2019-01-23,55.400002,55.650002,54.700001,55.389999,54.604919,92300
2019-01-24,55.310001,55.500000,53.860001,53.950001,53.185329,100200
2019-01-25,54.380001,54.680000,53.779999,54.209999,53.441647,121000
2019-01-28,53.959999,54.590000,53.730000,54.139999,53.372639,101600
2019-01-29,54.049999,54.320000,52.919998,53.400002,52.643127,183300
2019-01-30,53.549999,53.849998,53.080002,53.340000,52.583981,111400
2019-01-31,53.380001,54.869999,53.009998,54.480000,53.707817,186500
2019-02-01,54.639999,54.820000,53.580002,53.970001,53.205048,102200
2019-02-04,53.770000,55.189999,53.770000,54.930000,54.151440,128900
2019-02-05,55.000000,57.119999,54.980000,57.099998,56.290680,369500
2019-02-06,56.950001,57.349998,55.619999,57.139999,56.330116,194200
2019-02-07,56.860001,57.090000,55.630001,56.259998,55.462589,124300
2019-02-08,56.160000,56.560001,55.490002,55.970001,55.176701,106000
2019-02-11,56.130001,56.810001,56.009998,56.340000,55.541454,115200
2019-02-12,56.529999,58.000000,56.529999,57.220001,56.408985,152300
2019-02-13,57.220001,57.619999,57.060001,57.369999,56.556854,128400
2019-02-14,57.200001,58.000000,57.009998,57.779999,56.961048,107200
2019-02-15,58.000000,59.669998,58.000000,58.990002,58.153896,183000
2019-02-19,58.959999,60.009998,58.810001,59.049999,58.213043,156100
2019-02-20,59.099998,59.790001,58.240002,59.560001,58.715816,176500
2019-02-21,57.990002,58.740002,56.779999,57.770000,56.951187,250000
2019-02-22,57.700001,59.340000,57.700001,59.200001,58.360916,120900
2019-02-25,59.500000,59.990002,58.820000,58.820000,57.986305,126700
2019-02-26,58.939999,59.689999,57.770000,57.880001,57.059631,119300
2019-02-27,57.810001,58.389999,57.299999,58.160000,57.335659,125500
2019-02-28,58.150002,58.259998,56.830002,56.950001,56.142811,104500
2019-03-01,57.470001,57.770000,56.919998,57.509998,56.694874,102900
2019-03-04,57.529999,57.580002,53.660000,53.840000,53.076889,196800
2019-03-05,54.000000,54.180000,52.060001,52.250000,51.509426,226800
2019-03-06,52.360001,52.740002,51.330002,51.630001,50.898212,138700
2019-03-07,51.639999,52.080002,51.169998,51.660000,50.927792,147500
2019-03-08,51.009998,51.720001,50.910000,51.110001,50.385586,141200
2019-03-11,51.119999,51.119999,49.520000,50.619999,49.902527,259600
2019-03-12,50.650002,51.389999,50.070000,50.790001,50.070122,179300
2019-03-13,50.799999,51.380001,50.500000,50.560001,49.843380,196400
2019-03-14,50.450001,51.349998,50.000000,50.009998,49.575726,221900
2019-03-15,50.040001,50.669998,49.840000,50.349998,49.912773,597800
2019-03-18,50.419998,51.860001,50.419998,51.290001,50.844612,185900
2019-03-19,51.349998,52.209999,51.209999,51.630001,51.181660,112600
2019-03-20,51.630001,52.250000,50.959999,50.959999,50.517471,156000
2019-03-21,50.810001,52.139999,50.799999,52.020000,51.568272,167300
2019-03-22,51.939999,52.119999,50.709999,50.799999,50.358864,144000
2019-03-25,50.700001,51.869999,50.430000,51.580002,51.132095,92100
2019-03-26,51.799999,52.470001,51.799999,52.070000,51.617836,113700
2019-03-27,52.080002,53.340000,52.070000,53.040001,52.579414,117600
2019-03-28,53.349998,54.040001,52.650002,53.040001,52.579414,139600
2019-03-29,53.209999,53.279999,52.580002,53.020000,52.559589,183800
2019-04-01,53.169998,53.380001,52.360001,52.889999,52.430714,116000
2019-04-02,52.849998,52.860001,52.099998,52.529999,52.073841,101700
2019-04-03,52.750000,53.560001,52.330002,53.270000,52.807415,120200
2019-04-04,53.270000,54.080002,53.259998,53.799999,53.332813,137900
2019-04-05,53.939999,54.770000,53.939999,54.419998,53.947426,204500
2019-04-08,54.599998,55.950001,54.599998,55.700001,55.216312,309300
2019-04-09,55.509998,55.799999,53.950001,54.169998,53.699596,145500
2019-04-10,54.230000,54.639999,53.650002,54.189999,53.719425,148200
2019-04-11,54.320000,54.740002,54.200001,54.419998,53.947426,77500
2019-04-12,54.599998,54.770000,53.790001,54.439999,53.967255,108400
2019-04-15,54.520000,55.529999,54.520000,54.669998,54.195259,66500
2019-04-16,54.869999,54.939999,54.389999,54.799999,54.324127,101100
2019-04-17,55.029999,55.410000,53.689999,54.220001,53.749168,146600
2019-04-18,54.070000,55.000000,54.070000,54.700001,54.224998,62500
2019-04-22,54.529999,54.529999,53.580002,53.779999,53.312984,59200
2019-04-23,54.060001,54.840000,53.689999,54.509998,54.036648,83600
2019-04-24,54.540001,56.259998,54.169998,56.070000,55.583103,110400
2019-04-25,56.000000,56.720001,55.689999,56.549999,56.058933,202600
2019-04-26,56.560001,57.860001,56.560001,57.389999,56.891640,155200
2019-04-29,57.330002,57.610001,56.340000,56.630001,56.138241,114400
2019-04-30,56.700001,56.700001,55.689999,55.990002,55.503799,132600
2019-05-01,56.150002,56.360001,54.880001,55.279999,54.799961,243800
2019-05-02,55.180000,55.980000,54.529999,55.740002,55.255966,132800
2019-05-03,55.939999,56.290001,55.369999,55.750000,55.265881,98700
2019-05-06,55.369999,55.720001,55.110001,55.610001,55.127098,157200
2019-05-07,55.259998,55.549999,53.730000,54.520000,54.046562,131000
2019-05-08,53.130001,53.529999,50.189999,50.740002,50.299385,426900
2019-05-09,50.610001,51.110001,50.119999,51.099998,50.656258,207600
2019-05-10,51.049999,51.810001,50.799999,51.669998,51.221310,145900
2019-05-13,51.000000,52.080002,50.610001,51.820000,51.370010,230300
2019-05-14,51.930000,53.450001,51.630001,53.240002,52.777679,195100
2019-05-15,52.810001,53.430000,52.799999,53.290001,52.827240,135100
2019-05-16,53.299999,53.880001,52.820000,53.000000,52.827240,139800
2019-05-17,52.500000,52.889999,51.790001,51.889999,51.720860,443500
2019-05-20,51.709999,52.270000,50.630001,51.570000,51.401901,201400
2019-05-21,51.869999,52.590000,51.150002,51.660000,51.491608,162300
2019-05-22,51.549999,52.380001,51.549999,52.060001,51.890308,104100
2019-05-23,51.759998,52.669998,51.669998,52.230000,52.059750,165400
2019-05-24,52.380001,52.590000,51.720001,51.869999,51.700924,102100
